"Comparison","Z","P.adjusted"
"1 - 2",0.76471365163007,1
"1 - 3",-1.42018151738564,1
"2 - 3",-2.32134919835122,0.283752069535297
"1 - 4",-0.904042444257253,1
"2 - 4",-1.69593146738224,1
"3 - 4",0.428048833184025,1
"1 - 5",-1.00053578616833,1
"2 - 5",-1.87462571082397,0.851819269264088
"3 - 5",0.447577360820278,1
"4 - 5",-0.0202851811171307,1
"1 - 6",-0.262392553926736,1
"2 - 6",-1.032630810382,1
"3 - 6",1.12689789027027,1
"4 - 6",0.639028697495538,1
"5 - 6",0.712236080706696,1
"1 - 7",-2.92459628644509,0.0482864702592818
"2 - 7",-3.89967460583254,0.00134850873868679
"3 - 7",-1.63763855306804,1
"4 - 7",-1.9109843687329,0.784092255700892
"5 - 7",-2.07385225482495,0.533302481647428
"6 - 7",-2.61990269654251,0.123136802781415
"1 - 8",-0.992728753915864,1
"2 - 8",-1.80948214686871,0.985265838098775
"3 - 8",0.366250997477049,1
"4 - 8",-0.0669870804782375,1
"5 - 8",-0.0518835319441201,1
"6 - 8",-0.720927401565253,1
"7 - 8",1.88802762014177,0.826311396176101
